iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
EGY,2001,2012.37605430155,70152662.0,0.006680079987474014,14.200245515986264,0.000221469461813421,-0.55,0.47600000000000003,216611031.807898,7.607071419471409
EGY,2002,2022.07153551198,71485044.0,0.006555572568357498,13.935572649294306,0.000221469461813421,-0.41,0.484,223723945.47090077,7.611877777546093
EGY,2003,2048.22100367399,72826102.0,0.008077515923306102,22.746415838650815,0.000221469461813421,-0.55,0.48700000000000004,229604659.1939718,7.624726892287513
EGY,2004,2093.34632990722,74172073.0,0.0079309364663074,22.33364571056279,0.000221469461813421,-0.65,0.49700000000000005,245179016.59975985,7.646519179329266
EGY,2005,2147.8198110528197,75523576.0,0.007789011454347903,21.933982575189503,0.000221469461813421,-0.62,0.507,270821366.6306066,7.672208565263139
EGY,2006,2254.5104594361,76873670.0,0.007652216923392814,21.54876695752915,0.000221469461813421,-0.75,0.518,284685437.5596287,7.720688137209924
EGY,2007,2372.3830103892396,78232124.0,0.007519340757478533,21.174585519370535,0.000221469461813421,-0.76,0.529,299887747.944315,7.771650218578804
EGY,2008,2497.34022161353,79636081.0,0.007386777339499095,20.801284784468486,0.000221469461813421,-0.78,0.54,305253387.447772,7.822981533146282
EGY,2009,2565.76916476162,81134789.0,0.007250330046921234,20.417046995709818,0.0002173785156451199,-0.52,0.54,310771000.8142049,7.8500135819558325
EGY,2010,2644.81703909751,82761244.0,0.007107843842189158,20.015803532387697,0.0002131065115454282,-0.63,0.551,309488626.561766,7.8803571695359915
EGY,2011,2635.1915636204603,84529251.0,0.008275777760740923,25.86154418900506,0.0002086491929284929,-0.7,0.556,319719002.99162304,7.876711157999179
EGY,2012,2634.85005236495,86422240.0,0.008094505483286333,25.29507404575489,0.00020407895004804323,-0.6,0.5710000000000001,334286166.3930158,7.8765815532328896
EGY,2013,2632.05823306843,88404652.0,0.007912991904067305,24.72784984211012,0.00019950262345922704,-0.63,0.583,326653887.84190655,7.8755214172264525
EGY,2014,2648.2941693029397,90424668.0,0.007736221885358622,24.17544911527903,0.0001950458916807967,-0.62,0.586,331370278.84018445,7.881671002013224
EGY,2015,2703.74209214891,92442549.0,0.007567351864755347,23.647735633079527,0.00019078833492572778,-0.64,0.597,335786663.6551537,7.902392052491437
EGY,2016,2761.38619824943,94447071.0,0.00740674420234681,23.145841759349,0.00018673908902902875,-0.64,0.604,340945648.5663956,7.923488078370564
EGY,2017,2817.32022564701,96442590.0,0.00725348930962853,22.666925058731834,0.0001828752214141076,-0.54,0.605,352380843.7001916,7.9435414375417555
EGY,2018,2907.3175847111797,98423602.0,0.005766763289204985,18.125311040740005,0.00017919441720899425,-0.56,0.609,383922859.87744,7.974986142858378
EGY,2019,2907.3175847111797,100388076.0,0.0052263076709271284,17.77062048683949,0.00017568779782172538,-0.67,0.618,384903216.1296728,7.974986142858378
EGY,2020,2907.3175847111797,102334403.0,0.005126907044822605,17.43263602172966,0.00017568779782172538,-0.81,0.618,,7.974986142858378
ESP,1960,7375.702903755691,30455000.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,8.905946485650231
ESP,1961,8172.60975456641,30739250.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.008543568250177
ESP,1962,8903.769858158941,31023366.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.094230045604151
ESP,1963,9673.010430808828,31296651.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.177094856524654
ESP,1964,10085.781525063001,31609195.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.218881941194747
ESP,1965,10600.7244286097,31954292.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.268677620086597
ESP,1966,11253.033086655802,32283194.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.328392978997678
ESP,1967,11597.840266340401,32682947.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.358574175823904
ESP,1968,12202.3396830976,33113134.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.409382989637514
ESP,1969,13158.8912250309,33441054.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,,9.484852947912685
ESP,1970,13571.917652273001,33814531.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,192629612.63495147,9.515758058413933
ESP,1971,14032.8100469987,34224490.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,190144268.62034267,9.549153441494674
